LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
0.0001327671,3.09437
0.0001328071,3.09437
0.0001328471,2.09809
0.0001328871,2.76227
0.0001329271,2.76227
0.0001329671,2.76227
0.0001330071,2.43018
0.0001330471,3.09437
0.0001330871,3.09437
0.0001331271,2.76227
0.0001331671,2.43018
0.0001332071,3.09437
0.0001332471,2.43018
0.0001332871,2.43018
0.0001333271,2.43018
0.0001333671,3.09437
0.0001334071,3.09437
0.0001334471,2.43018
0.0001334871,2.43018
0.0001335271,2.76227
0.0001335671,2.76227
0.0001336071,2.43018
0.0001336471,2.09809
0.0001336871,3.09437
0.0001337271,3.09437
0.0001337671,3.09437
0.0001338071,2.09809
0.0001338471,3.09437
0.0001338871,2.76227
0.0001339271,3.09437
0.0001339671,2.43018
0.0001340071,2.76227
0.0001340471,2.76227
0.0001340871,2.76227
0.0001341271,2.43018
0.0001341671,3.42646
0.0001342071,2.76227
0.0001342471,3.09437
0.0001342871,2.43018
0.0001343271,3.09437
0.0001343671,3.09437
0.0001344071,2.43018
0.0001344471,2.09809
0.0001344871,3.09437
0.0001345271,2.76227
0.0001345671,2.76227
0.0001346071,2.09809
0.0001346471,2.76227
0.0001346871,2.76227
0.0001347271,2.43018
0.0001347671,2.09809
0.0001348071,2.43018
0.0001348471,2.43018
0.0001348871,3.09437
0.0001349271,2.09809
0.0001349671,3.09437
0.0001350071,2.09809
0.0001350471,2.76227
0.0001350871,2.09809
0.0001351271,2.43018
0.0001351671,2.09809
0.0001352071,2.76227
0.0001352471,2.09809
0.0001352871,3.09437
0.0001353271,2.76227
0.0001353671,3.09437
0.0001354071,2.43018
0.0001354471,2.43018
0.0001354871,2.09809
0.0001355271,2.43018
0.0001355671,2.43018
0.0001356071,3.09437
0.0001356471,2.43018
0.0001356871,2.76227
0.0001357271,2.43018
0.0001357671,2.43018
0.0001358071,2.76227
0.0001358471,2.76227
0.0001358871,2.09809
0.0001359271,2.76227
0.0001359671,2.43018
0.0001360071,2.43018
0.0001360471,2.43018
0.0001360871,3.09437
0.0001361271,2.43018
0.0001361671,2.43018
0.0001362071,2.09809
0.0001362471,3.09437
0.0001362871,2.76227
0.0001363271,2.43018
0.0001363671,1.76599
0.0001364071,2.76227
0.0001364471,2.43018
0.0001364871,2.43018
0.0001365271,2.09809
0.0001365671,2.43018
0.0001366071,2.43018
0.0001366471,2.76227
0.0001366871,1.76599
0.0001367271,2.43018
0.0001367671,2.43018
0.0001368071,2.43018
0.0001368471,2.43018
0.0001368871,2.76227
0.0001369271,2.09809
0.0001369671,2.43018
0.0001370071,1.76599
0.0001370471,2.43018
0.0001370871,2.09809
0.0001371271,2.09809
0.0001371671,1.76599
0.0001372071,2.43018
0.0001372471,2.43018
0.0001372871,2.43018
0.0001373271,2.09809
0.0001373671,2.09809
0.0001374071,2.09809
0.0001374471,2.43018
0.0001374871,2.09809
0.0001375271,2.76227
0.0001375671,2.43018
0.0001376071,2.76227
0.0001376471,2.09809
0.0001376871,2.09809
0.0001377271,2.43018
0.0001377671,2.43018
0.0001378071,2.09809
0.0001378471,2.43018
0.0001378871,2.43018
0.0001379271,2.76227
0.0001379671,2.09809
0.0001380071,2.43018
0.0001380471,2.09809
0.0001380871,2.43018
0.0001381271,2.09809
0.0001381671,2.43018
0.0001382071,2.09809
0.0001382471,2.43018
0.0001382871,2.09809
0.0001383271,2.09809
0.0001383671,2.43018
0.0001384071,2.09809
0.0001384471,2.09809
0.0001384871,2.43018
0.0001385271,3.09437
0.0001385671,2.43018
0.0001386071,1.76599
0.0001386471,2.76227
0.0001386871,2.09809
0.0001387271,2.43018
0.0001387671,2.09809
0.0001388071,2.43018
0.0001388471,2.43018
0.0001388871,1.76599
0.0001389271,1.76599
0.0001389671,2.43018
0.0001390071,2.09809
0.0001390471,2.43018
0.0001390871,1.76599
0.0001391271,2.09809
0.0001391671,2.09809
0.0001392071,2.76227
0.0001392471,2.09809
0.0001392871,2.09809
0.0001393271,1.4339
0.0001393671,2.43018
0.0001394071,1.76599
0.0001394471,2.43018
0.0001394871,1.76599
0.0001395271,2.43018
0.0001395671,1.76599
0.0001396071,2.09809
0.0001396471,2.43018
0.0001396871,2.76227
0.0001397271,1.76599
0.0001397671,2.43018
0.0001398071,2.09809
0.0001398471,2.76227
0.0001398871,1.76599
0.0001399271,2.43018
0.0001399671,2.09809
0.0001400071,2.43018
0.0001400471,1.76599
0.0001400871,2.76227
0.0001401271,2.09809
0.0001401671,2.09809
0.0001402071,1.76599
0.0001402471,2.09809
0.0001402871,2.09809
0.0001403271,2.09809
0.0001403671,2.09809
0.0001404071,2.09809
0.0001404471,2.09809
0.0001404871,2.09809
0.0001405271,1.4339
0.0001405671,2.43018
0.0001406071,1.76599
0.0001406471,2.43018
0.0001406871,1.76599
0.0001407271,1.76599
0.0001407671,2.43018
0.0001408071,2.09809
0.0001408471,1.76599
0.0001408871,2.09809
0.0001409271,2.09809
0.0001409671,2.09809
0.0001410071,1.76599
0.0001410471,2.09809
0.0001410871,2.09809
0.0001411271,1.4339
0.0001411671,1.76599
0.0001412071,2.09809
0.0001412471,2.09809
0.0001412871,1.76599
0.0001413271,1.76599
0.0001413671,2.43018
0.0001414071,2.09809
0.0001414471,1.76599
0.0001414871,1.76599
0.0001415271,2.09809
0.0001415671,2.09809
0.0001416071,2.43018
0.0001416471,1.76599
0.0001416871,1.76599
0.0001417271,1.76599
0.0001417671,2.09809
0.0001418071,1.76599
0.0001418471,2.09809
0.0001418871,2.09809
0.0001419271,2.09809
0.0001419671,1.4339
0.0001420071,2.43018
0.0001420471,2.09809
0.0001420871,2.09809
0.0001421271,1.4339
0.0001421671,2.09809
0.0001422071,1.76599
0.0001422471,2.09809
0.0001422871,1.76599
0.0001423271,1.76599
0.0001423671,1.76599
0.0001424071,1.76599
0.0001424471,2.09809
0.0001424871,1.76599
0.0001425271,2.09809
0.0001425671,2.09809
0.0001426071,1.76599
0.0001426471,2.09809
0.0001426871,1.76599
0.0001427271,1.76599
